Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,3.980E-01,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E-01,
Vertical Position,-4.160E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Display Last Dot Address,10000,
Waveform Last Dot Address,0,
SincET Mode,Real Time,
Sampling Period,1.000E-04,
Horizontal Old Scale,1.000E-01,
Horizontal Old Position,0.000E+00,
Firmware,V1.32,
Mode,Detail,
Waveform Data,
-4.719000e-01,6.32e-01,
-4.718000e-01,6.36e-01,
-4.717000e-01,5.80e-01,
-4.716000e-01,5.80e-01,
-4.715000e-01,6.32e-01,
-4.714000e-01,6.24e-01,
-4.713000e-01,6.32e-01,
-4.712000e-01,6.20e-01,
-4.711000e-01,6.20e-01,
-4.710000e-01,6.12e-01,
-4.709000e-01,6.12e-01,
-4.708000e-01,6.16e-01,
-4.707000e-01,6.16e-01,
-4.706000e-01,6.20e-01,
-4.705000e-01,6.20e-01,
-4.704000e-01,6.24e-01,
-4.703000e-01,6.24e-01,
-4.702000e-01,6.24e-01,
-4.701000e-01,6.32e-01,
-4.700000e-01,6.32e-01,
-4.699000e-01,6.32e-01,
-4.698000e-01,6.32e-01,
-4.697000e-01,6.24e-01,
-4.696000e-01,6.32e-01,
-4.695000e-01,6.20e-01,
-4.694000e-01,6.24e-01,
-4.693000e-01,6.32e-01,
-4.692000e-01,6.36e-01,
-4.691000e-01,6.40e-01,
-4.690000e-01,6.40e-01,
-4.689000e-01,6.44e-01,
-4.688000e-01,6.40e-01,
-4.687000e-01,6.40e-01,
-4.686000e-01,6.40e-01,
-4.685000e-01,6.44e-01,
-4.684000e-01,6.44e-01,
-4.683000e-01,6.44e-01,
-4.682000e-01,6.44e-01,
-4.681000e-01,6.40e-01,
-4.680000e-01,6.40e-01,
-4.679000e-01,6.36e-01,
-4.678000e-01,6.36e-01,
-4.677000e-01,6.36e-01,
-4.676000e-01,6.36e-01,
-4.675000e-01,6.36e-01,
-4.674000e-01,6.32e-01,
-4.673000e-01,6.24e-01,
-4.672000e-01,6.24e-01,
-4.671000e-01,6.24e-01,
-4.670000e-01,6.32e-01,
-4.669000e-01,6.32e-01,
-4.668000e-01,6.24e-01,
-4.667000e-01,6.24e-01,
-4.666000e-01,6.32e-01,
-4.665000e-01,6.20e-01,
-4.664000e-01,6.20e-01,
-4.663000e-01,6.20e-01,
-4.662000e-01,6.20e-01,
-4.661000e-01,5.64e-01,
-4.660000e-01,5.92e-01,
-4.659000e-01,6.16e-01,
-4.658000e-01,6.16e-01,
-4.657000e-01,6.12e-01,
-4.656000e-01,5.92e-01,
-4.655000e-01,6.32e-01,
-4.654000e-01,6.24e-01,
-4.653000e-01,6.16e-01,
-4.652000e-01,6.32e-01,
-4.651000e-01,6.32e-01,
-4.650000e-01,6.20e-01,
-4.649000e-01,6.24e-01,
-4.648000e-01,6.24e-01,
-4.647000e-01,6.20e-01,
-4.646000e-01,6.12e-01,
-4.645000e-01,6.16e-01,
-4.644000e-01,6.20e-01,
-4.643000e-01,6.24e-01,
-4.642000e-01,6.12e-01,
-4.641000e-01,6.24e-01,
-4.640000e-01,6.24e-01,
-4.639000e-01,6.36e-01,
-4.638000e-01,6.32e-01,
-4.637000e-01,6.36e-01,
-4.636000e-01,6.32e-01,
-4.635000e-01,6.24e-01,
-4.634000e-01,6.24e-01,
-4.633000e-01,6.20e-01,
-4.632000e-01,6.16e-01,
-4.631000e-01,6.08e-01,
-4.630000e-01,6.08e-01,
-4.629000e-01,6.16e-01,
-4.628000e-01,6.16e-01,
-4.627000e-01,6.12e-01,
-4.626000e-01,6.12e-01,
-4.625000e-01,5.92e-01,
-4.624000e-01,6.24e-01,
-4.623000e-01,6.20e-01,
-4.622000e-01,6.24e-01,
-4.621000e-01,6.24e-01,
-4.620000e-01,6.00e-01,
-4.619000e-01,6.12e-01,
-4.618000e-01,6.00e-01,
-4.617000e-01,5.76e-01,
-4.616000e-01,5.48e-01,
-4.615000e-01,5.92e-01,
-4.614000e-01,5.64e-01,
-4.613000e-01,5.76e-01,
-4.612000e-01,5.68e-01,
-4.611000e-01,5.56e-01,
-4.610000e-01,5.56e-01,
-4.609000e-01,5.64e-01,
-4.608000e-01,5.76e-01,
-4.607000e-01,5.88e-01,
-4.606000e-01,5.96e-01,
-4.605000e-01,5.96e-01,
-4.604000e-01,5.92e-01,
-4.603000e-01,5.96e-01,
-4.602000e-01,5.96e-01,
-4.601000e-01,6.00e-01,
-4.600000e-01,6.08e-01,
-4.599000e-01,6.08e-01,
-4.598000e-01,6.00e-01,
-4.597000e-01,6.00e-01,
-4.596000e-01,6.00e-01,
-4.595000e-01,6.00e-01,
-4.594000e-01,6.08e-01,
-4.593000e-01,6.00e-01,
-4.592000e-01,5.96e-01,
-4.591000e-01,5.64e-01,
-4.590000e-01,6.08e-01,
-4.589000e-01,6.12e-01,
-4.588000e-01,5.72e-01,
-4.587000e-01,5.68e-01,
-4.586000e-01,6.32e-01,
-4.585000e-01,6.32e-01,
-4.584000e-01,6.36e-01,
-4.583000e-01,6.40e-01,
-4.582000e-01,6.40e-01,
-4.581000e-01,6.40e-01,
-4.580000e-01,6.36e-01,
-4.579000e-01,6.36e-01,
-4.578000e-01,6.36e-01,
-4.577000e-01,6.40e-01,
-4.576000e-01,6.40e-01,
-4.575000e-01,6.44e-01,
-4.574000e-01,6.44e-01,
-4.573000e-01,6.40e-01,
-4.572000e-01,6.36e-01,
-4.571000e-01,6.24e-01,
-4.570000e-01,6.36e-01,
-4.569000e-01,6.32e-01,
-4.568000e-01,6.36e-01,
-4.567000e-01,6.36e-01,
-4.566000e-01,6.36e-01,
-4.565000e-01,6.36e-01,
-4.564000e-01,6.36e-01,
-4.563000e-01,5.92e-01,
-4.562000e-01,5.88e-01,
-4.561000e-01,5.68e-01,
-4.560000e-01,6.44e-01,
-4.559000e-01,6.44e-01,
-4.558000e-01,5.76e-01,
-4.557000e-01,6.40e-01,
-4.556000e-01,5.68e-01,
-4.555000e-01,5.88e-01,
-4.554000e-01,6.40e-01,
-4.553000e-01,6.44e-01,
-4.552000e-01,6.20e-01,
-4.551000e-01,6.36e-01,
-4.550000e-01,6.20e-01,
-4.549000e-01,5.88e-01,
-4.548000e-01,5.80e-01,
-4.547000e-01,6.36e-01,
-4.546000e-01,6.24e-01,
-4.545000e-01,6.24e-01,
-4.544000e-01,6.36e-01,
-4.543000e-01,6.36e-01,
-4.542000e-01,6.08e-01,
-4.541000e-01,6.12e-01,
-4.540000e-01,6.52e-01,
-4.539000e-01,6.36e-01,
-4.538000e-01,6.40e-01,
-4.537000e-01,6.44e-01,
-4.536000e-01,6.44e-01,
-4.535000e-01,6.44e-01,
-4.534000e-01,6.40e-01,
-4.533000e-01,6.36e-01,
-4.532000e-01,6.40e-01,
-4.531000e-01,6.36e-01,
-4.530000e-01,6.24e-01,
-4.529000e-01,6.40e-01,
-4.528000e-01,6.24e-01,
-4.527000e-01,6.36e-01,
-4.526000e-01,6.24e-01,
-4.525000e-01,6.24e-01,
-4.524000e-01,6.44e-01,
-4.523000e-01,6.44e-01,
-4.522000e-01,6.24e-01,
-4.521000e-01,6.44e-01,
-4.520000e-01,6.44e-01,
-4.519000e-01,6.44e-01,
-4.518000e-01,6.44e-01,
-4.517000e-01,6.44e-01,
-4.516000e-01,6.40e-01,
-4.515000e-01,6.40e-01,
-4.514000e-01,6.40e-01,
-4.513000e-01,6.36e-01,
-4.512000e-01,6.32e-01,
-4.511000e-01,6.20e-01,
-4.510000e-01,6.16e-01,
-4.509000e-01,6.12e-01,
-4.508000e-01,6.08e-01,
-4.507000e-01,6.08e-01,
-4.506000e-01,6.08e-01,
-4.505000e-01,6.16e-01,
-4.504000e-01,6.16e-01,
-4.503000e-01,6.20e-01,
-4.502000e-01,6.20e-01,
-4.501000e-01,6.20e-01,
-4.500000e-01,6.12e-01,
-4.499000e-01,6.12e-01,
-4.498000e-01,6.12e-01,
-4.497000e-01,6.16e-01,
-4.496000e-01,6.08e-01,
-4.495000e-01,5.96e-01,
-4.494000e-01,6.08e-01,
-4.493000e-01,6.00e-01,
-4.492000e-01,6.24e-01,
-4.491000e-01,6.12e-01,
-4.490000e-01,6.12e-01,
-4.489000e-01,6.08e-01,
-4.488000e-01,6.12e-01,
-4.487000e-01,6.20e-01,
-4.486000e-01,6.24e-01,
-4.485000e-01,6.20e-01,
-4.484000e-01,6.20e-01,
-4.483000e-01,6.24e-01,
-4.482000e-01,6.20e-01,
-4.481000e-01,6.24e-01,
-4.480000e-01,6.20e-01,
-4.479000e-01,6.20e-01,
-4.478000e-01,6.16e-01,
-4.477000e-01,6.20e-01,
-4.476000e-01,6.20e-01,
-4.475000e-01,6.16e-01,
-4.474000e-01,6.12e-01,
-4.473000e-01,6.12e-01,
-4.472000e-01,6.20e-01,
-4.471000e-01,6.32e-01,
-4.470000e-01,5.80e-01,
-4.469000e-01,6.36e-01,
-4.468000e-01,6.32e-01,
-4.467000e-01,6.24e-01,
-4.466000e-01,6.40e-01,
-4.465000e-01,6.12e-01,
-4.464000e-01,6.00e-01,
-4.463000e-01,6.44e-01,
-4.462000e-01,6.52e-01,
-4.461000e-01,6.52e-01,
-4.460000e-01,6.44e-01,
-4.459000e-01,6.40e-01,
-4.458000e-01,6.44e-01,
-4.457000e-01,6.44e-01,
-4.456000e-01,6.36e-01,
-4.455000e-01,6.20e-01,
-4.454000e-01,6.44e-01,
-4.453000e-01,6.36e-01,
-4.452000e-01,6.32e-01,
-4.451000e-01,6.40e-01,
-4.450000e-01,6.36e-01,
-4.449000e-01,6.52e-01,
-4.448000e-01,6.40e-01,
-4.447000e-01,6.32e-01,
-4.446000e-01,6.52e-01,
-4.445000e-01,6.32e-01,
-4.444000e-01,6.36e-01,
-4.443000e-01,6.36e-01,
-4.442000e-01,6.36e-01,
-4.441000e-01,6.40e-01,
-4.440000e-01,6.44e-01,
-4.439000e-01,6.32e-01,
-4.438000e-01,6.36e-01,
-4.437000e-01,6.36e-01,
-4.436000e-01,6.40e-01,
-4.435000e-01,6.36e-01,
-4.434000e-01,6.36e-01,
-4.433000e-01,6.36e-01,
-4.432000e-01,6.36e-01,
-4.431000e-01,6.40e-01,
-4.430000e-01,6.36e-01,
-4.429000e-01,6.32e-01,
-4.428000e-01,6.24e-01,
-4.427000e-01,6.24e-01,
-4.426000e-01,6.36e-01,
-4.425000e-01,6.24e-01,
-4.424000e-01,6.24e-01,
-4.423000e-01,5.96e-01,
-4.422000e-01,6.36e-01,
-4.421000e-01,6.36e-01,
-4.420000e-01,6.24e-01,
-4.419000e-01,6.36e-01,
-4.418000e-01,6.40e-01,
-4.417000e-01,6.24e-01,
-4.416000e-01,6.36e-01,
-4.415000e-01,6.20e-01,
-4.414000e-01,6.40e-01,
-4.413000e-01,6.36e-01,
-4.412000e-01,6.24e-01,
-4.411000e-01,6.24e-01,
-4.410000e-01,6.24e-01,
-4.409000e-01,6.20e-01,
-4.408000e-01,6.44e-01,
-4.407000e-01,6.52e-01,
-4.406000e-01,6.52e-01,
-4.405000e-01,6.44e-01,
-4.404000e-01,6.44e-01,
-4.403000e-01,6.52e-01,
-4.402000e-01,6.44e-01,
-4.401000e-01,6.44e-01,
-4.400000e-01,6.44e-01,
-4.399000e-01,6.52e-01,
-4.398000e-01,6.44e-01,
-4.397000e-01,6.44e-01,
-4.396000e-01,6.44e-01,
-4.395000e-01,6.40e-01,
-4.394000e-01,6.40e-01,
-4.393000e-01,6.44e-01,
-4.392000e-01,6.40e-01,
-4.391000e-01,6.32e-01,
-4.390000e-01,6.32e-01,
